Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -1,607.69,1127.32,73050402,53441149,73.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -3,226.18,916.96,73050402,49082435,67.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -5,135.69,947.34,73050402,48635754,66.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -7,105.41,950.93,73050402,48500518,66.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -9,79.16,925.01,73050402,47812843,65.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -11,37.90,904.71,73050402,47568091,65.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -13,14.17,900.42,73050402,47471555,64.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -15,12.96,901.56,73050402,47418687,64.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -16,7.53,813.50,73050402,47045004,64.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -19,3.95,632.58,73050402,45329395,62.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
xz 5.8.1 -1,11.32,54.38,73050402,42589300,58.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
xz 5.8.1 -3,5.50,55.52,73050402,42381460,58.02,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
xz 5.8.1 -5,3.33,55.67,73050402,39146604,53.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
xz 5.8.1 -7,3.21,56.94,73050402,38707672,52.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
xz 5.8.1 -9,2.80,55.88,73050402,37521452,51.36,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zlib 1.3.1 -1,49.98,261.34,73050402,49227570,67.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zlib 1.3.1 -3,38.37,278.83,73050402,49346073,67.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zlib 1.3.1 -5,29.76,273.72,73050402,49000022,67.08,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zlib 1.3.1 -7,16.87,274.84,73050402,48811510,66.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zlib 1.3.1 -9,4.06,277.59,73050402,48684995,66.65,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/0
zstd 1.5.7 -1,414.91,922.93,52392355,26666552,50.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/1
zstd 1.5.7 -3,219.49,879.27,52392355,23311782,44.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/1
zstd 1.5.7 -5,121.76,902.67,52392355,22926057,43.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/1
zstd 1.5.7 -7,86.70,936.96,52392355,22785771,43.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/1
zstd 1.5.7 -9,64.78,905.35,52392355,22342770,42.65,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/1
