Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -1,583.68,1363.71,8305920,1343056,16.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -3,373.37,1298.24,8305920,1403709,16.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -5,244.23,1330.76,8305920,1376971,16.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -7,109.69,1340.88,8305920,1343008,16.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -9,77.22,1348.88,8305920,1245213,14.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -11,38.19,1371.52,8305920,1259978,15.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -13,19.89,1599.70,8305920,1259079,15.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -15,9.44,2268.49,8305920,1231382,14.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -16,8.51,1696.21,8305920,1271504,15.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -19,5.51,1414.16,8305920,1117043,13.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
xz 5.8.1 -1,36.64,201.21,8305920,1107328,13.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
xz 5.8.1 -3,15.54,209.63,8305920,1108752,13.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
xz 5.8.1 -5,4.40,226.82,8305920,956932,11.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
xz 5.8.1 -7,4.07,226.79,8305920,953456,11.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
xz 5.8.1 -9,3.97,204.97,8305920,953456,11.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zlib 1.3.1 -1,161.70,607.60,8305920,1511782,18.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zlib 1.3.1 -3,116.49,667.02,8305920,1487588,17.91,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zlib 1.3.1 -5,70.23,452.06,8305920,1439490,17.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zlib 1.3.1 -7,25.65,454.94,8305920,1430791,17.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zlib 1.3.1 -9,3.22,460.99,8305920,1429218,17.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/0
zstd 1.5.7 -1,578.17,1372.24,8305920,1327101,15.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -3,374.46,1274.23,8305920,1401746,16.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -5,241.62,1323.05,8305920,1374028,16.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -7,108.61,1335.49,8305920,1339620,16.13,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -9,79.29,1346.51,8305920,1244004,14.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -11,39.70,1380.12,8305920,1259648,15.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -13,22.76,1588.93,8305920,1258691,15.15,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -15,10.98,2252.53,8305920,1230841,14.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -16,8.71,1689.39,8305920,1273135,15.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -19,5.67,1396.51,8305920,1119200,13.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
xz 5.8.1 -1,37.85,202.08,8305920,1107784,13.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
xz 5.8.1 -3,19.45,210.54,8305920,1107404,13.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
xz 5.8.1 -5,4.94,229.24,8305920,957084,11.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
xz 5.8.1 -7,4.65,229.23,8305920,953424,11.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
xz 5.8.1 -9,4.63,205.90,8305920,953424,11.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zlib 1.3.1 -1,164.32,611.24,8305920,1510736,18.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zlib 1.3.1 -3,118.03,672.52,8305920,1486968,17.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zlib 1.3.1 -5,70.92,454.84,8305920,1438227,17.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zlib 1.3.1 -7,26.18,460.99,8305920,1429687,17.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zlib 1.3.1 -9,3.23,461.37,8305920,1427999,17.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/1
zstd 1.5.7 -1,581.85,1366.28,8305920,1347049,16.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -3,382.65,1299.78,8305920,1401308,16.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -5,246.74,1343.95,8305920,1374383,16.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -7,111.65,1347.10,8305920,1339931,16.13,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -9,80.21,1381.36,8305920,1245363,14.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -11,39.56,1388.60,8305920,1260576,15.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -13,23.34,1590.42,8305920,1259143,15.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -15,13.11,2249.45,8305920,1231834,14.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -16,9.54,1682.83,8305920,1275446,15.36,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
zstd 1.5.7 -19,5.93,1432.56,8305920,1118297,13.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
xz 5.8.1 -1,38.26,202.14,8305920,1106032,13.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
xz 5.8.1 -3,19.37,209.52,8305920,1108596,13.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
xz 5.8.1 -5,4.96,231.82,8305920,956648,11.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
xz 5.8.1 -7,4.70,231.06,8305920,953484,11.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-flux/samples/test/2
