Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -1,518.55,1112.57,8305920,1311477,15.79,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -3,452.40,1089.27,8305920,1314932,15.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -5,203.58,1084.68,8305920,1268166,15.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -7,100.23,1302.36,8305920,1198622,14.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -9,75.22,1261.86,8305920,1168492,14.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -11,35.35,1558.25,8305920,1106354,13.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -13,21.62,1932.60,8305920,1046052,12.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -15,10.42,2460.83,8305920,971028,11.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -16,7.08,2344.05,8305920,959070,11.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
zstd 1.5.7 -19,3.40,2312.58,8305920,921822,11.10,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
xz 5.8.1 -1,42.02,210.15,8305920,959824,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
xz 5.8.1 -3,19.15,249.77,8305920,920524,11.08,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
xz 5.8.1 -5,4.37,301.58,8305920,806120,9.71,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
xz 5.8.1 -7,3.40,314.47,8305920,778436,9.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
xz 5.8.1 -9,3.36,272.44,8305920,778436,9.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/0
