Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -1,393.96,1218.41,156352082,34336941,21.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -3,290.88,1099.37,156352082,34267827,21.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -5,142.97,1086.58,156352082,33426768,21.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -7,76.25,1309.11,156352082,30731561,19.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -9,55.73,1359.58,156352082,30056372,19.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -11,26.17,1455.10,156352082,28466824,18.21,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -13,11.12,1481.28,156352082,27952294,17.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -15,4.85,1626.54,156352082,26479998,16.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -16,4.59,1628.98,156352082,25682660,16.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -19,1.79,1582.86,156352082,24054555,15.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
xz 5.8.1 -1,26.55,143.91,156352082,32240496,20.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
xz 5.8.1 -3,10.65,172.09,156352082,30175768,19.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
xz 5.8.1 -5,2.96,200.85,156352082,25131828,16.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
xz 5.8.1 -7,2.12,203.76,156352082,23743996,15.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
xz 5.8.1 -9,1.68,170.32,156352082,23243352,14.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zlib 1.3.1 -1,114.41,389.98,156352082,44739401,28.61,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zlib 1.3.1 -3,58.51,460.22,156352082,39464879,25.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zlib 1.3.1 -5,34.47,431.75,156352082,35650619,22.80,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zlib 1.3.1 -7,12.26,467.95,156352082,33051336,21.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zlib 1.3.1 -9,4.96,483.63,156352082,32004241,20.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/0
zstd 1.5.7 -1,399.69,1241.92,21355673,4688219,21.95,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -3,290.14,1115.72,21355673,4710119,22.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -5,144.22,1100.82,21355673,4580597,21.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -7,77.37,1318.62,21355673,4221985,19.77,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -9,56.19,1388.51,21355673,4132886,19.35,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -11,26.58,1461.88,21355673,3936164,18.43,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -13,10.84,1465.84,21355673,3878381,18.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -15,5.06,1606.29,21355673,3701665,17.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -16,4.80,1591.78,21355673,3570023,16.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -19,1.94,1565.55,21355673,3386429,15.86,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
xz 5.8.1 -1,25.91,143.82,21355673,4419160,20.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
xz 5.8.1 -3,10.62,170.96,21355673,4154156,19.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
xz 5.8.1 -5,2.88,194.60,21355673,3465948,16.23,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
xz 5.8.1 -7,2.19,198.71,21355673,3314504,15.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
xz 5.8.1 -9,2.21,177.43,21355673,3314020,15.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zlib 1.3.1 -1,116.64,398.91,21355673,6094837,28.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zlib 1.3.1 -3,58.90,466.57,21355673,5398986,25.28,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zlib 1.3.1 -5,34.52,432.79,21355673,4887470,22.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zlib 1.3.1 -7,12.61,481.02,21355673,4555078,21.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zlib 1.3.1 -9,4.97,480.91,21355673,4423417,20.71,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/1
zstd 1.5.7 -1,390.22,1206.20,95299927,20973810,22.01,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -3,289.94,1091.41,95299927,20930395,21.96,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -5,141.55,1078.29,95299927,20444562,21.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -7,76.39,1294.44,95299927,18823420,19.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -9,55.49,1355.92,95299927,18411785,19.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -11,26.19,1458.16,95299927,17443775,18.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -13,10.96,1470.11,95299927,17145724,17.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -15,4.84,1621.64,95299927,16256875,17.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -16,4.60,1655.43,95299927,15772462,16.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -19,1.80,1566.43,95299927,14806924,15.54,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
xz 5.8.1 -1,26.45,143.45,95299927,19744288,20.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
xz 5.8.1 -3,10.65,171.51,95299927,18486400,19.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
xz 5.8.1 -5,2.92,195.97,95299927,15436964,16.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
xz 5.8.1 -7,1.93,200.54,95299927,14584468,15.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
xz 5.8.1 -9,1.57,150.54,95299927,14366420,15.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zlib 1.3.1 -1,113.77,386.81,95299927,27304017,28.65,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zlib 1.3.1 -3,57.98,457.18,95299927,24056851,25.24,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zlib 1.3.1 -5,33.93,430.42,95299927,21779930,22.85,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zlib 1.3.1 -7,12.00,472.36,95299927,20168925,21.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zlib 1.3.1 -9,4.96,485.80,95299927,19531071,20.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/2
zstd 1.5.7 -1,380.87,1177.18,1216707583,272135558,22.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -3,278.37,1064.62,1216707583,271585821,22.32,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -5,135.74,1046.64,1216707583,264958498,21.78,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -7,71.75,1244.11,1216707583,243243790,19.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -9,52.65,1291.81,1216707583,237313888,19.50,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -11,25.24,1412.45,1216707583,225099829,18.50,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -13,10.84,1425.43,1216707583,220889288,18.15,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -15,4.58,1579.26,1216707583,207928395,17.09,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -16,4.53,1571.48,1216707583,201382458,16.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -19,1.78,1550.97,1216707583,188042466,15.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
xz 5.8.1 -1,26.16,141.11,1216707583,254722280,20.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
xz 5.8.1 -3,10.46,168.39,1216707583,238941204,19.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
xz 5.8.1 -5,2.72,193.71,1216707583,194577640,15.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
xz 5.8.1 -7,2.04,196.51,1216707583,183776860,15.10,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
xz 5.8.1 -9,1.60,171.51,1216707583,179111324,14.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zlib 1.3.1 -1,112.45,381.16,1216707583,351502958,28.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zlib 1.3.1 -3,57.41,449.12,1216707583,311551873,25.61,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zlib 1.3.1 -5,34.18,421.13,1216707583,280278744,23.04,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zlib 1.3.1 -7,11.78,456.91,1216707583,261341516,21.48,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zlib 1.3.1 -9,5.07,470.44,1216707583,254056677,20.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/3
zstd 1.5.7 -1,387.72,1214.31,186207640,41066424,22.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -3,290.51,1102.96,186207640,40938176,21.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -5,141.32,1081.79,186207640,40014246,21.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -7,76.07,1298.19,186207640,36781281,19.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -9,55.51,1360.41,186207640,35965654,19.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -11,26.11,1463.44,186207640,34122748,18.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -13,10.91,1475.14,186207640,33493901,17.99,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -15,4.67,1605.11,186207640,31667515,17.01,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
zstd 1.5.7 -16,4.63,1618.15,186207640,30742724,16.51,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/4
