Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -1,607.12,1472.11,7317470,1252554,17.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -3,476.50,1366.42,7317470,1056998,14.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -5,221.91,1404.02,7317470,1057534,14.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -7,114.04,1617.71,7317470,1034858,14.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -9,88.09,1687.37,7317470,1019749,13.94,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -11,45.34,1856.32,7317470,991902,13.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -13,30.65,1918.00,7317470,981689,13.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -15,19.18,2111.73,7317470,960366,13.12,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -16,12.19,2199.45,7317470,896623,12.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -19,4.18,2167.41,7317470,888646,12.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
xz 5.8.1 -1,42.26,218.47,7317470,891308,12.18,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
xz 5.8.1 -3,25.05,239.39,7317470,861464,11.77,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
xz 5.8.1 -5,7.77,257.84,7317470,796792,10.89,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
xz 5.8.1 -7,6.43,260.75,7317470,787128,10.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
xz 5.8.1 -9,6.23,232.26,7317470,787128,10.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zlib 1.3.1 -1,184.76,695.17,7317470,1244051,17.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zlib 1.3.1 -3,121.09,794.21,7317470,1157763,15.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zlib 1.3.1 -5,80.76,687.17,7317470,1100096,15.03,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zlib 1.3.1 -7,25.06,771.95,7317470,1037121,14.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zlib 1.3.1 -9,3.91,825.90,7317470,1006001,13.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/0
zstd 1.5.7 -1,595.29,1442.49,483966011,72940082,15.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zstd 1.5.7 -3,473.74,1391.06,483966011,65954791,13.63,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zstd 1.5.7 -5,217.63,1429.05,483966011,66261279,13.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zstd 1.5.7 -7,115.63,1638.11,483966011,65058491,13.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zstd 1.5.7 -9,88.48,1780.35,483966011,63601301,13.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
